Timestamp,City,State,Shape,Duration,Summary,Posted,Images,Updated_Duration,Coords,Lat,Lng,geometry
2021-09-03 21:00:00,Black Hills Thurston County,WA,Light,2 seconds,Bright white light suddenly appears and drops straight down,2021-09-07,0,0.03333333333333333,"(-122.9008255, 47.03553391)",-122.9008255,47.03553391,POINT (-122.9008255 47.03553391)
2021-09-03 20:45:00,Johnson City,TN,Triangle,1 minute,"Triangle craft, moving fast in straight line towards horizon.",2021-09-07,0,1.0,"(-82.34175873, 36.32095718)",-82.34175873,36.32095718,POINT (-82.34175873 36.32095718)
2021-09-03 19:01:00,Star Valley,AZ,Other,,MADAR Node 53,2021-10-19,0,1.0,"(-110.45999908, 33.35110855)",-110.45999908,33.35110855,POINT (-110.45999908 33.35110855)
2021-09-03 19:00:00,Chicago,IL,Oval,Few minutes,Cluster of ufos seen over a river tour in Chicago.,2022-03-04,1,3.0,"(-87.63240051, 41.8832283)",-87.63240051,41.8832283,POINT (-87.63240051 41.8832283)
2021-09-03 10:52:00,Watsonville,CA,Other,,MADAR Node 105,2021-10-19,0,1.0,"(-121.75687408, 36.91023254)",-121.75687408,36.91023254,POINT (-121.75687408 36.91023254)
2021-09-03 08:31:00,Goshen,IN,Other,,MADAR Node 182,2021-10-19,0,1.0,"(-85.83438873, 41.58121872)",-85.83438873,41.58121872,POINT (-85.83438873 41.58121872)
2021-09-02 23:00:00,Pocatello,ID,Other,App 5 seconds,"Silent, dark, shield-shaped object.",2021-10-19,0,0.08333333333333333,"(-112.44353485, 42.86655045)",-112.44353485,42.86655045,POINT (-112.44353485 42.86655045)
2021-09-02 21:00:00,Athens,GA,Fireball,10 seconds,Pure white light flying in such a way that no earthly craft possibly could.,2021-09-07,0,0.16666666666666666,"(-83.37680054, 33.95741272)",-83.37680054,33.95741272,POINT (-83.37680054 33.95741272)
2021-09-02 20:00:00,Nashville,TN,Other,5 minutes,2 objects near Nashville airport.  I was down Murfreesboro Rd going under the runway by airport. When i came out from under it I se,2021-09-07,0,5.0,"(-86.77905273, 36.1663475)",-86.77905273,36.1663475,POINT (-86.77905273 36.1663475)
2021-09-02 19:40:00,San Diego,CA,Circle,15 minutes,I saw one object with dotted green and red lights. There were 3 green and 2 red lights that were blinking rhythmically. The entire obje,2021-10-19,0,15.0,"(-117.16381836, 32.71575928)",-117.16381836,32.71575928,POINT (-117.16381836 32.71575928)
2021-09-02 19:30:00,Lebanon,NH,Diamond,10 seconds,Weird shaped craft flying low with an escort plane directly behind,2022-06-22,0,0.16666666666666666,"(-72.25059509, 43.64242554)",-72.25059509,43.64242554,POINT (-72.25059509 43.64242554)
2021-09-02 14:15:00,In flight,KY,Cross,10 seconds,Inverted Y-shaped object seen from commercial aircraft at 28K ft,2021-10-19,0,0.16666666666666666,"(-85.28770447, 37.52732849)",-85.28770447,37.52732849,POINT (-85.28770447 37.52732849)
2021-09-02 05:35:00,Gilbert,AZ,Cigar,1 minute,Ufo monitoring power grid and electricity.,2021-09-07,0,1.0,"(-111.79033661, 33.33073044)",-111.79033661,33.33073044,POINT (-111.79033661 33.33073044)
2021-09-01 21:35:00,Eau Claire,WI,Rectangle,8 minutes,Strange lights seen near the Chippewa Valley Airport,2021-10-19,0,8.0,"(-91.4994278, 44.81256485)",-91.4994278,44.81256485,POINT (-91.4994278 44.81256485)
2021-09-01 21:30:00,Newington,CT,Other,,MADAR Node 106,2021-10-19,0,1.0,"(-72.72384644, 41.69800186)",-72.72384644,41.69800186,POINT (-72.72384644 41.69800186)
2021-09-01 19:50:00,Madison,LA,Other,5 minutes,Watching a lightning storm during Hurricane Ida. A light being just appeared in the storm and appeared to be playing/dancing in storm,2022-03-04,1,5.0,"(-91.18927765, 32.40641403)",-91.18927765,32.40641403,POINT (-91.18927765 32.40641403)
2021-09-01 18:52:00,Hodgkins,IL,Other,4 minutes,Three Tic-Tac UFOs flying over UPS,2021-09-07,0,4.0,"(-87.85692596, 41.77192688)",-87.85692596,41.77192688,POINT (-87.85692596 41.77192688)
2021-09-01 12:10:00,Salem,OR,Other,5 minutes,"Six objects in the sky, moving north to west, changing formations as they moved before disappearing.",2021-09-07,0,5.0,"(-123.03930664, 44.93901443)",-123.03930664,44.93901443,POINT (-123.03930664 44.93901443)
2021-09-01 05:53:00,Eads,TN,Other,,MADAR Node 32,2021-10-19,0,1.0,"(-89.65079498, 35.20466995)",-89.65079498,35.20466995,POINT (-89.65079498 35.20466995)
2021-09-01 05:16:00,Jonesboro,AR,Other,,MADAR Node 143,2021-10-19,0,1.0,"(-90.71050262, 35.83839417)",-90.71050262,35.83839417,POINT (-90.71050262 35.83839417)
2021-10-31 21:25:00,Tucson,AZ,Sphere,1 minute,Halloween Night - burning bright orange UFO in the Southwest Desert.,2021-11-15,0,1.0,"(-110.97122192, 32.22187805)",-110.97122192,32.22187805,POINT (-110.97122192 32.22187805)
2021-10-31 21:00:00,Surprise,AZ,Other,2 minutes,About 9:00 pm Local time saw a bright Fluorescent orange object coming from the south west heading towards the Northeast. Made no noise,2021-11-15,0,2.0,"(-112.33016968, 33.6289978)",-112.33016968,33.6289978,POINT (-112.33016968 33.6289978)
2021-10-31 19:00:00,Charles City,VA,Oval,1 minute,Driving west on route 60 about to come up on route 33 to get on interstate 295. So about 1 minute away from bottoms bridge route 33 dr,2021-11-15,0,1.0,"(-77.07583618, 37.34127045)",-77.07583618,37.34127045,POINT (-77.07583618 37.34127045)
2021-10-31 07:48:00,Goshen,KY,Other,,MADAR Node 182,2022-03-04,0,1.0,"(-85.57666779, 38.40325165)",-85.57666779,38.40325165,POINT (-85.57666779 38.40325165)
2021-10-31 06:43:00,West Des Moines,IA,Light,30 seconds,"Satellite-type speeding light in sky stopped near star, went 90 degrees in different direction.",2021-11-15,0,0.5,"(-93.71302795, 41.5755043)",-93.71302795,41.5755043,POINT (-93.71302795 41.5755043)
2021-10-31 01:01:00,NASA space agency,NV,Other,15 minutes,"Peter, ((deleted)) here. I thought I had your email.. ((NUFORC Note: Alleged footage of faked lunar landing. PD))",2021-11-15,0,15.0,"(-118.8105011, 38.95206451)",-118.8105011,38.95206451,POINT (-118.8105011 38.95206451)
2021-10-31 01:00:00,Gulfport,MS,Triangle,4 seconds,Standing in the front yard at my mothers after hearing a noise that drew me outside.,2022-06-22,0,0.06666666666666667,"(-89.09153748, 30.36976814)",-89.09153748,30.36976814,POINT (-89.09153748 30.36976814)
