Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
9/8/21 07:04,Swayzee,KS,USA,,,MADAR Node 22,10/19/21,
9/8/21 06:47,Goshen,KY,USA,Triangle,7 minutes,MADAR Node 182 operator reported observing a trianglular UFO,10/26/21,
9/8/21 01:00,Rochester,NY,USA,Light,2 seconds,Rochester ny bright white ball of light flying fast,10/19/21,
9/7/21 22:41,San Marcos,CA,USA,Chevron,<3 minutes,"Chevron shaped UFO San Marcos, CA",10/19/21,
9/7/21 21:30,Ocean Isle Beach,NC,USA,Flash,1.5 hours,Numerous Lights in Ocean Isle Beach,10/19/21,
9/7/21 21:26,Grand Junction,CO,USA,,,MADAR Node 75,10/19/21,
9/7/21 20:54,Payson,IL,USA,,,MADAR Node 97,10/19/21,
9/7/21 19:45,Papillion,NE,USA,Cylinder,2 min,There were lights moving weird on the horizon. When my brother and I get home we see a tik tak shaped object hovering over our house.,3/4/22,Yes
9/7/21 17:10,Randolph,MA,USA,Sphere,20 seconds,Gold orbs racing down my street about 10 ft off ground.,10/19/21,
9/7/21 15:00,Liverpool (UK/England),,United Kingdom,Cylinder,6 minutes,"Vertical cylinder, slow moving but caught sunlight reflects a couple of times which is what made me look up.was travelling in a south t",10/19/21,
9/7/21 12:37,Lacey,WA,USA,,,MADAR Node 50,10/19/21,
9/7/21 06:44,Shoreline,WA,USA,Unknown,3 minutes,Odd white low streak going across the sky,9/7/21,
9/7/21 03:17,Goshen,KY,USA,,,MADAR Node 182,10/19/21,
9/6/21 20:45,Cleveland,GA,USA,Light,5 minutes,Bright amber light estimated to be about 20 or 30 feet in diameter. Appeared to be hovering then moved slowly Southeast into a thick cl,11/15/21,
9/6/21 20:00,Bristol,CT,USA,Triangle,2 minutes,"As my boyfriend and I drove down the street, we saw a golden glowing triangular shape moving slowly away from us. I watched it closely",10/19/21,
9/6/21 19:56,Lancaster,CA,USA,Fireball,28 seconds,Red orange fireball no sound heard. Unknown speed more like gradual gliding,10/19/21,
9/6/21 12:35,Jacksonville,FL,USA,Cylinder,10-15 seconds,I saw 3 cylindrical objects flying past our Jet Blue flight as we were approaching the airport. ((NUFORC Note: Witness is pilot. PD),9/7/21,
